backend,entries,bits_per_entry,k,build_seconds,exact_bytes,exact_bytes_per_entry,fpr,false_negatives
BINARY_FUSE_8,10000000,-1,-1,2.21,11272192,1.127,0.003960,0
BINARY_FUSE_16,10000000,-1,-1,2.17,22544384,2.254,0.000017,0
TRUNCATED_LONG_64,10000000,-1,-1,0.86,80000000,8.000,0.000000,0
BLOCKED_BLOOM,10000000,11,6,0.60,13750016,1.375,0.007531,0
BLOCKED_BLOOM,10000000,17,7,0.82,21250048,2.125,0.001560,0
BLOCKED_BLOOM,10000000,26,9,0.77,32500032,3.250,0.000570,0
BLOCKED_BLOOM,10000000,9,5,0.48,11250048,1.125,0.016311,0
BLOCKED_BLOOM,10000000,18,7,0.79,22500032,2.250,0.001336,0
BINARY_FUSE_8,100000000,-1,-1,25.02,112590848,1.126,0.003883,0
BINARY_FUSE_16,100000000,-1,-1,25.27,225181696,2.252,0.000018,0
TRUNCATED_LONG_64,100000000,-1,-1,7.27,800000000,8.000,0.000000,0
BLOCKED_BLOOM,100000000,11,6,9.02,137500032,1.375,0.007635,0
BLOCKED_BLOOM,100000000,17,7,11.09,212500032,2.125,0.001530,0
BLOCKED_BLOOM,100000000,26,9,12.33,325000000,3.250,0.000597,0
BLOCKED_BLOOM,100000000,9,5,7.81,112500032,1.125,0.016166,0
BLOCKED_BLOOM,100000000,18,7,11.28,225000000,2.250,0.001341,0
BINARY_FUSE_8,1000000000,-1,-1,269.34,1125122048,1.125,0.003858,0
BINARY_FUSE_16,1000000000,-1,-1,267.76,2250244096,2.250,0.000012,0
TRUNCATED_LONG_64,1000000000,-1,-1,77.10,8000000000,8.000,0.000000,0
BLOCKED_BLOOM,1000000000,11,6,132.52,1375000000,1.375,0.007519,0
BLOCKED_BLOOM,1000000000,17,7,135.22,2125000000,2.125,0.001556,0
BLOCKED_BLOOM,1000000000,26,9,137.76,3250000000,3.250,0.000583,0
BLOCKED_BLOOM,1000000000,9,5,130.67,1125000000,1.125,0.016352,0
BLOCKED_BLOOM,1000000000,18,7,135.46,2250000000,2.250,0.001346,0
